cacheSize,blockSize,associativity,writeBack,writeAllocate,missRate,totalCycles
16384,256,2,0,1,0.170572,8830834
16384,256,2,0,0,0.207325,9064885
16384,256,4,1,1,0.168032,5000925
16384,256,4,1,0,0.20484,5683663
16384,256,4,0,1,0.168032,8788425
16384,256,4,0,0,0.20484,9033763
16384,256,8,1,1,0.167787,4995982
16384,256,8,1,0,0.204556,5677329
16384,256,8,0,1,0.167787,8782882
16384,256,8,0,0,0.204556,9027129
16384,256,16,1,1,0.167395,4987773
16384,256,16,1,0,0.204169,5669519
16384,256,16,0,1,0.167395,8773073
16384,256,16,0,0,0.204169,9018419
16384,256,32,1,1,0.168836,5038338
16384,256,32,1,0,0.207604,5765720
16384,256,32,0,1,0.168836,8789338
16384,256,32,0,0,0.207604,9051120
65536,32,2,1,1,0.210141,5868330
65536,32,2,1,0,0.223205,5773491
65536,32,2,0,1,0.210141,9642130
65536,32,2,0,0,0.223205,9819091
65536,32,4,1,1,0.194767,5425906
65536,32,4,1,0,0.207307,5370289
65536,32,4,0,1,0.194767,9355506
65536,32,4,0,0,0.207307,9511489
65536,32,8,1,1,0.189024,5258042
65536,32,8,1,0,0.200704,5200025
65536,32,8,0,1,0.189024,9234942
65536,32,8,0,0,0.200704,9386425
65536,32,16,1,1,0.186977,5203418
65536,32,16,1,0,0.198194,5136409
65536,32,16,0,1,0.186977,9191118
65536,32,16,0,0,0.198194,9339509
65536,32,32,1,1,0.186569,5193213
65536,32,32,1,0,0.197772,5125407
65536,32,32,0,1,0.186569,9181613
65536,32,32,0,0,0.197772,9330807
65536,64,2,1,1,0.168216,4875582
65536,64,2,1,0,0.180516,4880721
65536,64,2,0,1,0.168216,8786382
65536,64,2,0,0,0.180516,8936121
65536,64,4,1,1,0.157985,4572862
65536,64,4,1,0,0.167842,4551869
65536,64,4,0,1,0.157985,8582662
65536,64,4,0,0,0.167842,8709469
65536,64,8,1,1,0.153888,4455115
65536,64,8,1,0,0.162219,4393377
65536,64,8,0,1,0.153888,8496815
65536,64,8,0,0,0.162219,8612477
65536,64,16,1,1,0.150255,4360160
65536,64,16,1,0,0.158118,4288731
65536,64,16,0,1,0.150255,8418360
65536,64,16,0,0,0.158118,8532131
65536,64,32,1,1,0.14814,4305552
65536,64,32,1,0,0.155384,4220467
65536,64,32,0,1,0.14814,8372452
65536,64,32,0,0,0.155384,8481067
65536,128,2,1,1,0.149511,4443733
65536,128,2,1,0,0.16209,4513307
65536,128,2,0,1,0.149511,8404533
65536,128,2,0,0,0.16209,8532207
65536,128,4,1,1,0.147805,4372030
65536,128,4,1,0,0.158105,4383334
65536,128,4,0,1,0.147805,8380130
65536,128,4,0,0,0.158105,8482134
65536,128,8,1,1,0.147831,4356924
65536,128,8,1,0,0.157155,4346555
65536,128,8,0,1,0.147831,8386424
65536,128,8,0,0,0.157155,8482955
65536,128,16,1,1,0.149008,4380350
65536,128,16,1,0,0.157985,4363662
65536,128,16,0,1,0.149008,8416650
65536,128,16,0,0,0.157985,8511162
65536,128,32,1,1,0.149864,4394351
65536,128,32,1,0,0.158724,4377190
65536,128,32,0,1,0.149864,8438151
65536,128,32,0,0,0.158724,8531790
65536,256,2,1,1,0.132612,3902464
65536,256,2,1,0,0.150956,4213797
65536,256,2,0,1,0.132612,8138564
65536,256,2,0,0,0.150956,8256097
65536,256,4,1,1,0.131438,3852537
65536,256,4,1,0,0.147452,4107612
65536,256,4,0,1,0.131438,8127337
65536,256,4,0,0,0.147452,8225112
65536,256,8,1,1,0.130935,3825054
65536,256,8,1,0,0.145513,4046363
65536,256,8,0,1,0.130935,8125354
65536,256,8,0,0,0.145513,8212863
65536,256,16,1,1,0.130832,3823378
65536,256,16,1,0,0.145118,4036955
65536,256,16,0,1,0.130832,8124678
65536,256,16,0,0,0.145118,8209155
65536,256,32,1,1,0.130961,3826648
65536,256,32,1,0,0.145122,4038854
65536,256,32,0,1,0.130961,8128048
65536,256,32,0,0,0.145122,8212154
262144,32,2,1,1,0.134942,3663122
262144,32,2,1,0,0.142371,3709294
262144,32,2,0,1,0.134942,8194822
262144,32,2,0,0,0.142371,8242694
262144,32,4,1,1,0.137036,3688835
262144,32,4,1,0,0.144593,3741477
262144,32,4,0,1,0.137036,8252435
262144,32,4,0,0,0.144593,8316277
262144,32,8,1,1,0.140453,3751740
262144,32,8,1,0,0.147525,3796395
262144,32,8,0,1,0.140453,8340640
262144,32,8,0,0,0.147525,8400695
262144,32,16,1,1,0.144546,3831988
262144,32,16,1,0,0.151188,3867243
262144,32,16,0,1,0.144546,8440488
262144,32,16,0,0,0.151188,8496643
262144,32,32,1,1,0.146683,3875091
262144,32,32,1,0,0.153037,3904213
262144,32,32,0,1,0.146683,8489791
262144,32,32,0,0,0.153037,8542913
262144,64,2,1,1,0.0912296,2641690
262144,64,2,1,0,0.100679,2798692
262144,64,2,0,1,0.0912296,7263190
262144,64,2,0,0,0.100679,7400092
262144,64,4,1,1,0.0933791,2668390
262144,64,4,1,0,0.101964,2805893
262144,64,4,0,1,0.0933791,7321090
262144,64,4,0,0,0.101964,7449593
262144,64,8,1,1,0.0960187,2707176
262144,64,8,1,0,0.104415,2847823
262144,64,8,0,1,0.0960187,7390576
262144,64,8,0,0,0.104415,7521823
262144,64,16,1,1,0.098323,2748540
262144,64,16,1,0,0.10647,2885045
262144,64,16,0,1,0.098323,7446740
262144,64,16,0,0,0.10647,7575445
262144,64,32,1,1,0.0989205,2754901
262144,64,32,1,0,0.107016,2891318
262144,64,32,0,1,0.0989205,7462201
262144,64,32,0,0,0.107016,7590818
262144,128,2,1,1,0.0733327,2194153
262144,128,2,1,0,0.0792525,2311676
262144,128,2,0,1,0.0733327,6906053
262144,128,2,0,0,0.0792525,6983976
262144,128,4,1,1,0.0768235,2267341
262144,128,4,1,0,0.0817674,2356791
262144,128,4,0,1,0.0768235,6996841
262144,128,4,0,0,0.0817674,7063691
262144,128,8,1,1,0.0787323,2301097
262144,128,8,1,0,0.0835171,2391084
262144,128,8,0,1,0.0787323,7043497
262144,128,8,0,0,0.0835171,7108784
262144,128,16,1,1,0.0796394,2324886
262144,128,16,1,0,0.084407,2413877
262144,128,16,0,1,0.0796394,7064586
262144,128,16,0,0,0.084407,7130677
262144,128,32,1,1,0.0801639,2340364
262144,128,32,1,0,0.0849659,2429947
262144,128,32,0,1,0.0801639,7075764
262144,128,32,0,0,0.0849659,7142147
262144,256,2,1,1,0.0649024,1934914
262144,256,2,1,0,0.0697215,2033793
262144,256,2,0,1,0.0649024,6766314
262144,256,2,0,0,0.0697215,6798893
262144,256,4,1,1,0.0673227,1981851
262144,256,4,1,0,0.0711402,2055763
262144,256,4,0,1,0.0673227,6829451
262144,256,4,0,0,0.0711402,6854563
262144,256,8,1,1,0.0678687,1989124
262144,256,8,1,0,0.0716045,2062355
262144,256,8,0,1,0.0678687,6843424
262144,256,8,0,0,0.0716045,6867855
262144,256,16,1,1,0.0677784,1982145
262144,256,16,1,0,0.0712219,2049944
262144,256,16,0,1,0.0677784,6843345
262144,256,16,0,0,0.0712219,6866544
262144,256,32,1,1,0.0679933,1986595
262144,256,32,1,0,0.0713165,2050422
262144,256,32,0,1,0.0679933,6848395
262144,256,32,0,0,0.0713165,6869822
1048576,32,2,1,1,0.0637502,1700682
1048576,32,2,1,0,0.0709855,1867299
1048576,32,2,0,1,0.0637502,6687682
1048576,32,2,0,0,0.0709855,6726899
1048576,32,4,1,1,0.0637502,1700682
1048576,32,4,1,0,0.0709855,1867299
1048576,32,4,0,1,0.0637502,6687682
1048576,32,4,0,0,0.0709855,6726899
1048576,32,8,1,1,0.0637502,1700682
1048576,32,8,1,0,0.0709855,1867299
1048576,32,8,0,1,0.0637502,6687682
1048576,32,8,0,0,0.0709855,6726899
1048576,32,16,1,1,0.0637502,1700682
1048576,32,16,1,0,0.0709855,1867299
1048576,32,16,0,1,0.0637502,6687682
1048576,32,16,0,0,0.0709855,6726899
1048576,32,32,1,1,0.0637502,1700682
1048576,32,32,1,0,0.0709855,1867299
1048576,32,32,0,1,0.0637502,6687682
1048576,32,32,0,0,0.0709855,6726899
1048576,64,2,1,1,0.0323716,978081
1048576,64,2,1,0,0.0362623,1067676
1048576,64,2,0,1,0.0323716,6006881
1048576,64,2,0,0,0.0362623,6067176
1048576,64,4,1,1,0.0323716,978081
1048576,64,4,1,0,0.0362623,1067676
1048576,64,4,0,1,0.0323716,6006881
1048576,64,4,0,0,0.0362623,6067176
1048576,64,8,1,1,0.0323716,978081
1048576,64,8,1,0,0.0362623,1067676
1048576,64,8,0,1,0.0323716,6006881
1048576,64,8,0,0,0.0362623,6067176
1048576,64,16,1,1,0.0323716,978081
1048576,64,16,1,0,0.0362623,1067676
1048576,64,16,0,1,0.0323716,6006881
1048576,64,16,0,0,0.0362623,6067176
1048576,64,32,1,1,0.0323716,978081
1048576,64,32,1,0,0.0362623,1067676
1048576,64,32,0,1,0.0323716,6006881
1048576,64,32,0,0,0.0362623,6067176
1048576,128,2,1,1,0.0163535,609207
1048576,128,2,1,0,0.0181892,651480
1048576,128,2,0,1,0.0163535,5670407
1048576,128,2,0,0,0.0181892,5698980
1048576,128,4,1,1,0.0163535,609207
1048576,128,4,1,0,0.0181892,651480
1048576,128,4,0,1,0.0163535,5670407
1048576,128,4,0,0,0.0181892,5698980
1048576,128,8,1,1,0.0163535,609207
1048576,128,8,1,0,0.0181892,651480
1048576,128,8,0,1,0.0163535,5670407
1048576,128,8,0,0,0.0181892,5698980
1048576,128,16,1,1,0.0163535,609207
1048576,128,16,1,0,0.0181892,651480
1048576,128,16,0,1,0.0163535,5670407
1048576,128,16,0,0,0.0181892,5698980
1048576,128,32,1,1,0.0163535,609207
1048576,128,32,1,0,0.0181892,651480
1048576,128,32,0,1,0.0163535,5670407
1048576,128,32,0,0,0.0181892,5698980
1048576,256,2,1,1,0.00824123,422394
1048576,256,2,1,0,0.00895486,438828
1048576,256,2,0,1,0.00824123,5506294
1048576,256,2,0,0,0.00895486,5512528
1048576,256,4,1,1,0.00824123,422394
1048576,256,4,1,0,0.00895486,438828
1048576,256,4,0,1,0.00824123,5506294
1048576,256,4,0,0,0.00895486,5512528
1048576,256,8,1,1,0.00824123,422394
1048576,256,8,1,0,0.00895486,438828
1048576,256,8,0,1,0.00824123,5506294
1048576,256,8,0,0,0.00895486,5512528
1048576,256,16,1,1,0.00824123,422394
1048576,256,16,1,0,0.00895486,438828
1048576,256,16,0,1,0.00824123,5506294
1048576,256,16,0,0,0.00895486,5512528
1048576,256,32,1,1,0.00824123,422394
1048576,256,32,1,0,0.00895486,438828
1048576,256,32,0,1,0.00824123,5506294
1048576,256,32,0,0,0.00895486,5512528
